id,source_thread_id,source_tweet_id,text,intent,escalate,reference_reply,annotator_notes
real-001,1864163.0,1864163,@AppleSupport ever since I updated my phone it freezes and restarts itself like 7 times a day and my echo text doesn’t even work! ☹️,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-002,1676278.0,1676277,@115858 fix this iOS 11 update!!!,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-003,795266.0,795266,"@AppleSupport: #apple cannot Support it’s #MacBookPro battery replacement, it should shut down the whole program to sort it out. Ridiculous!",repair_or_damage,True,"We can help you find repair options or warranty coverage, and a DM with the device model and issue will help us route you correctly.",real tweet sample labeled using the project intent taxonomy
real-004,1712034.0,1712034,So is @115858 gonna fix the I️ issue anytime soon or are we just gonna change the dictionary?,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-005,1805155.0,1805155,@AppleSupport Y’all need to fix this new update!! My 6s+ and my #macbookair have not been working since I updated 😡😤 https://t.co/jWfZgI71v9,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-006,616269.0,616270,@AppleSupport 64gb 6s Plus -IOS 11.0.1,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-007,2784653.0,2784653,@AppleSupport what do I do if I tired to update my MacBook Pro and it restarted and keeps restarting over and over again? 🙄🤔,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-008,1780304.0,1780304,This @115858 iOS update is awful🙄slows down everything!,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-009,1674064.0,1674064,@AppleSupport can u please fix the keyboard thing so eye can type the letter eye?!,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-010,2369515.0,2369516,@AppleSupport iOS 11.1.1,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-011,691216.0,691216,How the fuck is Apple about to not let me change the song on my lock screen 🤔 @115948 @115858,repair_or_damage,True,"We can help you find repair options or warranty coverage, and a DM with the device model and issue will help us route you correctly.",real tweet sample labeled using the project intent taxonomy
real-012,152811.0,152810,@AppleSupport Help,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-013,2012382.0,2012382,#WTF is this?! It’s only been 1.5 days with the #iPhoneX! #problems @115858 https://t.co/svfwruW60w,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-014,1405497.0,1405498,"@252895 @AppleSupport I am trying hard not to Apple Bash, I have been a customer since the beginning but my iPhone 6+ now functions like a twenty year old computer trying to run new software. There is a 3-20 second delay after touching any button, including the home button. It keeps freezing,,,,",other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-015,2311619.0,2311619,"lose connection to watch (Series 2), common #Bluetooth problems and long start on iPhone6S (approx. 10 Min.) #iOS11 @115858 : fix it! it‘s annoying!",device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-016,566755.0,566756,@AppleSupport Just when I play them on my Apple TV.,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-017,2138825.0,2138825,@115858 needs to get it together.... why my shit looking like this after I️ updated iOS 11.1 ( I️ ),battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-018,1134078.0,1134078,When it’s charging my iPhone 6 thinks it’s connected to “headphones”.  iOS11 is the gift that keeps giving @AppleSupport,device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-019,1526962.0,1526962,@AppleSupport why am I️ seeing ? when I️ type I️ ?,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-020,2062102.0,2062102,"Updated to iOS11..Battery draining,overheating is all what I got.. Thanks @115858 #iOS11",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-021,558387.0,558388,"@AppleSupport Okay, that let me update my phone! So we’ll see if it helps with the random shutting off/loading screen.",repair_or_damage,True,"We can help you find repair options or warranty coverage, and a DM with the device model and issue will help us route you correctly.",real tweet sample labeled using the project intent taxonomy
real-022,696638.0,696638,Why the fuck is iPhone changing it to I.T now? Get your shit together @115858,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-023,2863548.0,2863549,@AppleSupport iOS 11.1,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-024,667853.0,667853,I just got this fuckiNG IPHONE 7+ A FEW MONTHS AGO ITS BRAND NEW SO WHY TF IS IT ACTING UP ANSWER ME THAT @115858,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-025,331391.0,331391,@115858 hey guys just wanted to let you know I really hate the new iOS update and it's really confusing on the iPad so yeah.,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-026,486271.0,486271,@AppleSupport why has iTunes taken money out my bank? Can you help?,device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-027,2522412.0,2522413,@AppleSupport iPhone 8 Plus. Anytime I get a Snapchat or go on Snapchat or twitter or Facebook or iMessage it’ll turn off,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-028,1196811.0,1196811,And my iPhone froze again! @116333 Can you fix the buggy iOS11 asap?Thank god #SteveJobs is not alive to see @115858 become new @115890. https://t.co/kyWoD3kUNb,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-029,2064984.0,2064984,The time disappeared from my lock screen... @AppleSupport help🙂,repair_or_damage,True,"We can help you find repair options or warranty coverage, and a DM with the device model and issue will help us route you correctly.",real tweet sample labeled using the project intent taxonomy
real-030,1004462.0,1004462,"@AppleSupport y’all need a new update my phones ties quicker then ever , I need a charger everywhere I gon",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-031,1174824.0,1174826,@AppleSupport I tried that https://t.co/zuWOZIAOQQ,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-032,396994.0,396994,"Fixez ce bug qui empêche de voir le texte qu’on écrit qd on passe sur le clavier emoji @115858 

svp",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-033,1272420.0,1272418,"@AppleSupport Not quite sure what you need. Standard iPad plug, standard Apple cable, plugged into an iPad Air 2. It's melted &amp; set carpet on fire",other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-034,2018466.0,2018466,Hey @AppleSupport i️ would love to use the first person singular pronoun to refer to myself again... without a question mark and a box A. https://t.co/sBnbjGz1l8,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-035,1976022.0,1976022,@AppleSupport I can’t download again this is not cool I cant download anything,storage_or_cloud,False,"Please review your iCloud and storage settings, remove large backups if needed, and if the issue continues, DM the device and app name so we can narrow the problem.",real tweet sample labeled using the project intent taxonomy
real-036,1134146.0,1134146,"@115858 how do I remove a podcast from downloaded, but not delete, in the new iOS? @AppleSupport",storage_or_cloud,False,"Please review your iCloud and storage settings, remove large backups if needed, and if the issue continues, DM the device and app name so we can narrow the problem.",real tweet sample labeled using the project intent taxonomy
real-037,663923.0,663923,"@AppleSupport Why is Jay Versace's interview of the ""goin raw with timothy delaghetto"" podcast skipped on iTunes? It should be after ""gina darling"" and before ""james Davis"", but it's not. All the other episodes are there.",device_or_accessory_setup,False,"Please restart the device, forget and re-pair the accessory, and confirm Bluetooth is enabled. If it still fails, send a DM with the device model and setup step that is failing.",real tweet sample labeled using the project intent taxonomy
real-038,1455329.0,1455330,"@AppleSupport Yes, restart had no effect. Even on other devices with same Apple ID I can‘t hide the purchased apps.",account_access,False,"You can reset your Apple ID or password at iforgot.apple.com. Please do not share passwords or one-time codes in public, and DM us if you still cannot sign in.",real tweet sample labeled using the project intent taxonomy
real-039,325905.0,325905,"My iphone 6S has been so glitchy since the iOS updates. Can’t launch phone keypad quickly, contacts...@AppleSupport what is going on?",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-040,1636596.0,1636596,@AppleSupport ID LOVE TO HAVE A PHONE THAT DOESNT FREEZE EVERY 20 MINUTES,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-041,2017089.0,2017089,@115858 have you been able to fix the problem with the I’s yet? This is getting ridiculous I️ I️ I️ am furious!,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-042,542459.0,542459,"@AppleSupport How do I get iOS 10 back on my 6s? My phone was in perfect working condition until I updated to iOS 11, now it barely functions &amp; restarts every 5 mins.",battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-043,1579176.0,1579176,@115858 get to work with the I️ situation getting old quickly. @AppleSupport,other_or_unknown,True,"Please share the product, what is failing, and when it started so we can route you to the correct support path.",real tweet sample labeled using the project intent taxonomy
real-044,877725.0,877725,@AppleSupport my purchased ringtone is no longer ringing and is using a default Apple one instead. Is this a bug and can it be fixed? https://t.co/nRWQGL0WMJ,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
real-045,2555465.0,2555465,@AppleSupport I want to change my AppleID from my @133941 address to an #iCloud email account that I've just created - how do I do that please? Thanks in advance.,account_access,True,"You can reset your Apple ID or password at iforgot.apple.com. Please do not share passwords or one-time codes in public, and DM us if you still cannot sign in.",real tweet sample labeled using the project intent taxonomy
real-046,1853168.0,1853168,@115858 all these updates and you can’t add the low power mode to this scroll up menu? #QualityOfLifeRequest https://t.co/htg8jgn4WX,battery_or_performance,False,"Please check Battery Health in Settings > Battery, keep the device updated, and if it continues, send a DM with the model and symptoms so we can narrow the issue.",real tweet sample labeled using the project intent taxonomy
