id,human_label,judge_label
real-096,1,1
real-016,0,1
real-031,0,0
real-159,0,0
real-129,1,0
real-116,0,0
real-070,0,0
real-171,0,1
real-175,0,0
real-046,1,1
real-067,1,1
real-183,1,0
real-166,1,1
real-079,0,0
real-187,1,1
real-178,1,0
real-057,0,0
real-153,0,0
real-083,1,1
real-069,0,1
real-125,0,0
real-017,1,1
real-149,1,1
real-094,0,1
real-066,1,1
real-061,1,1
real-085,1,1
real-068,0,1
real-126,0,0
real-133,1,1
real-010,1,1
real-019,0,1
real-056,1,1
real-076,0,0
real-151,0,0
real-105,0,1
real-136,1,1
real-138,0,0
real-165,1,1
real-077,0,0
