id,text,intent,escalate,reference_reply
golden-001,My iPhone battery is draining quickly,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-002,My iPhone battery is draining quickly please,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-003,My iPhone battery is draining quickly today,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-004,My iPhone battery is draining quickly urgently,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-005,My iPhone battery is draining quickly after the update,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-006,My iPhone battery is draining quickly,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-007,My iPhone battery is draining quickly please,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-008,My iPhone battery is draining quickly today,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-009,My iPhone battery is draining quickly urgently,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-010,My iPhone battery is draining quickly after the update,battery_or_performance,0,"Please check Battery Health in Settings > Battery and update iOS. If it continues, contact us by DM."
golden-011,I was charged twice for an App Store purchase,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-012,I was charged twice for an App Store purchase please,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-013,I was charged twice for an App Store purchase today,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-014,I was charged twice for an App Store purchase urgently,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-015,I was charged twice for an App Store purchase after the update,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-016,I was charged twice for an App Store purchase,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-017,I was charged twice for an App Store purchase please,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-018,I was charged twice for an App Store purchase today,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-019,I was charged twice for an App Store purchase urgently,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-020,I was charged twice for an App Store purchase after the update,purchase_or_duplicate_charge,1,We can look into duplicate charges in a private message. Please send the order details via DM.
golden-021,My AirPods will not connect to my iPhone,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-022,My AirPods will not connect to my iPhone please,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-023,My AirPods will not connect to my iPhone today,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-024,My AirPods will not connect to my iPhone urgently,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-025,My AirPods will not connect to my iPhone after the update,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-026,My AirPods will not connect to my iPhone,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-027,My AirPods will not connect to my iPhone please,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-028,My AirPods will not connect to my iPhone today,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-029,My AirPods will not connect to my iPhone urgently,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-030,My AirPods will not connect to my iPhone after the update,device_or_accessory_setup,0,"Reset the AirPods, make sure Bluetooth is on, and pair them again. DM us if that does not help."
golden-031,My account is locked after too many attempts,account_access,0,Account recovery is available at iforgot.apple.com. Please do not share your password here.
golden-032,My account is locked after too many attempts please,account_access,0,Account recovery is available at iforgot.apple.com. Please do not share your password here.
golden-033,My account is locked after too many attempts today,account_access,0,Account recovery is available at iforgot.apple.com. Please do not share your password here.
